"joint","name","shortname","min","max"
0,"shoulder pitch","shoulder pitch",-94.5,8
1,"shoulder roll","shoulder roll",0,160.8
2,"shoulder yaw","shoulder yaw",-36.3,79.6
3,"elbow","elbow",15.4,105.9
4,"wrist pronosupination","wrist pronosupination",-90,90
5,"wrist pitch","wrist pitch",-90,0
6,"wrist yaw","wrist yaw",-19.8,39.6
7,"Hand finger adduction/abduction","hand finger add/abd",0,60
8,"Thumb opposition","thumb opposition",9.6,89.6
9,"Thumb proximal flexion/extension","thumb proximal f/e",0,90
10,"Thumb distal flexion","thumb distal flexion",0,180
11,"Index proximal flexion/extension","index proximal f/e",0,90
12,"Index distal flexion","index distal flexion",0,180
13,"Middle proximal flexion/extension","middle proximal f/e",0,90
14,"Middle distal flexion","middle distal flexion",0,180
15,"Ring and little finger flexion","ring and little fing. flex.",0,270
